Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"#include <iostream>
#include <cassert>
std::string remove_Occ(std::string s, char ch) {
    for (int i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
//begin to write code
",264,"
#include <iostream>
#include <cassert>

std::string remove_Occ(std::string s, char ch) {
    for (int i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    for (int i = s.length() - 1; i >= 0; i--) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    return s;
}


","
#include <iostream>
#include <cassert>
std::string remove_Occ(std::string s, char ch) {
    for (int i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    return s;
}

// Test function to verify the correctness of the remove_Occ function
void test_remove_Occ() {
    assert(remove_Occ(""hello"", 'l') == ""heo"");
    assert(remove_Occ(""world"", 'o') == ""world"");
    assert(remove_Occ(""cpp"", 'p') == ""cpp"");
    assert(remove_Occ("""", 'a') == """");
    assert(remove_Occ(""ababab"", 'b') == ""acaba"");
    std::cout << ""All test cases passed!"" << std::endl;
}

",,,,-2,1,0.3665321747461955,code_style:None,0.0,0.0,
1,"#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;
vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
//begin to write code
",360,"#include<iostream>
    

#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
    });
    return M;
}


","
#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
    });
    return M;
}

","#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;
vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate\
//begin to write code
","#include<iostream>
    

#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate\
(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
    });
    return M;
}



","#include<iostream>
#include <vector>
#include <numeric>
#include <cassert>
#include <string>
using namespace std;
int sum_of_elements(const vector<int>& vec) {
    int sum = 0;
    for (int num : vec) {
        sum += num;
    }
    return sum;
}
",1,5,1.1469506661097209,code_style:line_split,1.0,0.0,"{'#include<iostream>\n    \n\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\n\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {\n        return accumulate\\\n(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);\n    });\n    return M;\n}\n\n\n\n': [('#include<iostream>\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {\n        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);\n//begin to write code\n', '\n#include<iostream>\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\n\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {\n        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);\n    });\n    return M;\n}\n\n', 'newline_aftercode'), ('#include<iostream>\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {\n        return accumulate\\\n//begin to write code\n', '#include<iostream>\n#include <vector>\n#include <numeric>\n#include <cassert>\n#include <string>\nusing namespace std;\nint sum_of_elements(const vector<int>& vec) {\n    int sum = 0;\n    for (int num : vec) {\n        sum += num;\n    }\n    return sum;\n}\n', 'line_split')]}"
2,"#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>
#include <iostream>
using namespace std;
vector<pair<string, int>> count_common(const vector<string>& words) {
    map<string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }
    vector<pair<string, int>> sorted_counts(word_counts.begin(), word_counts.end());
    sort(sorted_counts.begin(), sorted_counts.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
//begin to write code
",529,"#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>
#include <iostream>
using namespace std;

vector<pair<string, int>> count_common(const vector<string>& words) {
    map<string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }

    vector<pair<string, int>> sorted_counts(word_counts.begin(), word_counts.end());
    sort(sorted_counts.begin(), sorted_counts.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
        return a.second > b.second || (a.second == b.second && a.first > b.first);
    });

    if (sorted_counts.size() > 4) {
        sorted_counts.resize(4);
    }
    return sorted_counts;
}","#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>
#include <iostream>
using namespace std;
vector<pair<string, int>> count_common(const vector<string>& words) {
    map<string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }
    vector<pair<string, int>> sorted_counts(word_counts.begin(), word_counts.end());
    sort(sorted_counts.begin(), sorted_counts.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
        return a.second > b.second; // Sort by frequency in descending order
    });
    vector<string> result;
    for (const auto& pair : sorted_counts) {
        if (pair.first!= """") { // Skip empty strings that might not have a count
            result.push_back(pair);
        }
    }
    return result;
}
",,,,-2,1,0.32945528825124104,code_style:None,0.0,0.0,
3,"#include <iostream>
#include <cassert>
int find_Volume(int l, int b, int h) {
//begin to write code
",100,"
#include <iostream>
#include <cassert>

int find_Volume(int l, int b, int h) {
    return ((l * b * h) / 2);
}


","
#include <iostream>
#include <cassert>
#include <cmath> // For M_PI

int find_Volume(int l, int b, int h) {
    // Calculate the volume of the triangular prism
    double volume = 0.5 * l * b * h;
    return volume;
}

","#include <iostream>
#include <cassert>
int find_Volume(int l, int b, int h) {
//begin to write code
","
#include <iostream>
#include <cassert>

int find_Volume(int l, int b, int h) {
    return ((l * b * h) / 2);
}


","
using namespace std;

#include <iostream>
#include <cassert>

int find_Volume(int l, int b, int h) {
    // Calculate the volume of the triangular prism
    return l * b * h;
}

",1,3,0.7967000524202983,code_style:tab_indent,1.0,0.0,"{'\n#include <iostream>\n#include <cassert>\n\nint find_Volume(int l, int b, int h) {\n    return ((l * b * h) / 2);\n}\n\n\n': [('#include <iostream>\n#include <cassert>\nint find_Volume(int l, int b, int h) {\n//begin to write code\n', '\nusing namespace std;\n\n#include <iostream>\n#include <cassert>\n\nint find_Volume(int l, int b, int h) {\n    // Calculate the volume of the triangular prism\n    return l * b * h;\n}\n\n', 'tab_indent')]}"
4,"#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;
vector<string> split_lowerstring(const string& text) {
    vector<string> result;
    size_t len = text.length();
    size_t i = 0;
    while (i < len) {
        if (text[i] >= 'a' && text[i] <= 'z') {
            size_t start = i;
            i++;
            while (i < len && (text[i] < 'a' || text[i] > 'z')) {
//begin to write code
",433,"#include <iostream>
#include <string>
#include <vector>
#include <cassert>

using namespace std;

vector<string> split_lowerstring(const string& text) {
    vector<string> result;
    size_t len = text.length();
    size_t i = 0;

    while (i < len) {

        if (text[i] >= 'a' && text[i] <= 'z') {
            size_t start = i;
            i++;

            while (i < len && (text[i] < 'a' || text[i] > 'z')) {
                i++;
            }
            result.push_back(text.substr(start, i - start));
        } else {
            i++;
        }
    }

    return result;
}","
#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;

vector<string> split_lowerstring(const string& text) {
    vector<string> result;
    size_t len = text.length();
    size_t i = 0;
    while (i < len) {
        if (text[i] >= 'a' && text[i] <= 'z') {
            size_t start = i;
            i++;
            while (i < len && (text[i] < 'a' || text[i] > 'z')) {
                result.push_back(text.substr(start, i - start));
            }
        }
    }
    return result;
}

",,,,-2,1,1.3384676694869995,code_style:None,0.0,0.0,
5,"#include<iostream>
#include <string>
#include <cassert>
using namespace std;
string text_lowercase_underscore(string text) {
    if (text.empty()) {
        return ""Not matched!"";
    }
    size_t underscore_pos = text.find('_');
    if (underscore_pos == std::string::npos) {
        return ""Not matched!"";
    }
    if (underscore_pos == 0 || underscore_pos == text.length() - 1) {
        return ""Not matched!"";
//begin to write code
",437,"#include<iostream>
    
#include <string>
#include <cassert>
using namespace std;

string text_lowercase_underscore(string text) {
    
    if (text.empty()) {
        return ""Not matched!"";
    }

    size_t underscore_pos = text.find('_');
    if (underscore_pos == std::string::npos) {
        return ""Not matched!"";
    }

    if (underscore_pos == 0 || underscore_pos == text.length() - 1) {
        return ""Not matched!"";
    }

    for (size_t i = 0; i < text.length(); ++i) {
        if (i == underscore_pos) {
            continue;
        }
        if (text[i] < 'a' || text[i] > 'z') {
            return ""Not matched!"";
        }
    }

    return ""Found a match!"";

}","
#include<iostream>
#include <string>
#include <cassert>
using namespace std;

string text_lowercase_underscore(string text) {
    if (text.empty()) {
        return ""Not matched!"";
    }
    size_t underscore_pos = text.find('_');
    if (underscore_pos == std::string::npos) {
        return ""Not matched!"";
    }
    if (underscore_pos == 0 || underscore_pos == text.length() - 1) {
        return ""Not matched!"";
    }
    return text.substr(0, underscore_pos) + ""_"" + text.substr(underscore_pos + 1);
}

",,,,-2,1,0.3600773016611735,code_style:None,0.0,0.0,
6,"#include <iostream>
#include <cassert>
int square_perimeter(int a) {
    int perimeter = 4 * a;
//begin to write code
",118,"
#include <iostream>
#include <cassert>

int square_perimeter(int a) {
    int perimeter = 4 * a;
    return perimeter;
}


","
using namespace std;
#include <iostream>

int square_perimeter(int a) {
    int perimeter = 4 * a;
    return perimeter;
}

",,,,-2,1,0.32547834316889446,code_style:None,0.0,0.0,
7,"#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;
const int NO_OF_CHARS = 256;
vector<char> str_to_list(const string& str) {
    vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}
string lst_to_string(const vector<char>& List) {
    return string(List.begin(), List.end());
}
vector<int> get_char_count_array(const string& str) {
    vector<int> count(NO_OF_CHARS, 0);
    for (char c : str) {
        count[c]++;
    }
//begin to write code
",533,"
#include <iostream>
#include <string>
#include <vector>
#include <cassert>

using namespace std;

const int NO_OF_CHARS = 256;

vector<char> str_to_list(const string& str) {
    vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}

string lst_to_string(const vector<char>& List) {
    return string(List.begin(), List.end());
}

vector<int> get_char_count_array(const string& str) {
    vector<int> count(NO_OF_CHARS, 0);
    for (char c : str) {
        count[c]++;
    }
    return count;
}

string remove_dirty_chars(const string& str, const string& filter_str) {
    vector<int> count = get_char_count_array(filter_str);
    int ip_ind = 0, res_ind = 0;
    vector<char> str_list = str_to_list(str);
    while (ip_ind != str_list.size()) {
        char temp = str_list[ip_ind];
        if (count[temp] == 0) {
            str_list[res_ind] = str_list[ip_ind];
            res_ind++;
        }
        ip_ind++;
    }
    return lst_to_string(vector<char>(str_list.begin(), str_list.begin() + res_ind));
}


","
#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;

const int NO_OF_CHARS = 256;
vector<char> str_to_list(const string& str) {
    vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}

string lst_to_string(const vector<char>& List) {
    return string(List.begin(), List.end());
}

vector<int> get_char_count_array(const string& str) {
    vector<int> count(NO_OF_CHARS, 0);
    for (char c : str) {
        count[c]++;
    }
    return count;
}

void remove_chars(const string& str, const string& chars_to_remove) {
    for (char ch : chars_to_remove) {
        size_t pos = str.find(ch);
        if (pos!= string::npos) {
            str.erase(pos, 1);
        }
    }
}

",,,,-2,1,0.331661585966746,code_style:None,0.0,0.0,
8,"#include <iostream>
#include <vector>
#include <set>
#include <cassert>
bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
//begin to write code
",212,"
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
    return arraynums.size() != nums_set.size();
}


","
using namespace std;
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());
    return nums_set.size()!= arraynums.size();
}

","#include <iostream>
#include <vector>
#include <set>
#include <cassert>
bool test_duplicate(std::vector<int> arraynums) {
    std\
//begin to write code
","


#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std\
::set<int> nums_set(arraynums.begin(), arraynums.end());    
    return arraynums.size() != nums_set.size();
}


","
using namespace std;
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::unordered_set<int> seen;
    for (int num : arraynums) {
        if (seen.find(num)!= seen.end()) {
            return true; // Duplicate found
        }
        seen.insert(num);
    }
    return false; // No duplicates found
}

",1,7,1.652111546198527,code_style:line_split,1.0,0.0,"{'\n\n\n#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\n\nbool test_duplicate(std::vector<int> arraynums) {\n    std\\\n::set<int> nums_set(arraynums.begin(), arraynums.end());    \n    return arraynums.size() != nums_set.size();\n}\n\n\n': [('#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());    \n//begin to write code\n', '\n#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\n\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());\n    return nums_set.size()!= arraynums.size();\n}\n\n', 'newline_random'), ('#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());    \n//begin to write code\n', '\nusing namespace std;\n#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\n\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());\n    return nums_set.size()!= arraynums.size();\n}\n\n', 'doc2comments'), ('#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\nbool test_duplicate(std::vector<int> arraynums) {\n    std\\\n//begin to write code\n', '\nusing namespace std;\n#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\n\nbool test_duplicate(std::vector<int> arraynums) {\n    std::unordered_set<int> seen;\n    for (int num : arraynums) {\n        if (seen.find(num)!= seen.end()) {\n            return true; // Duplicate found\n        }\n        seen.insert(num);\n    }\n    return false; // No duplicates found\n}\n\n', 'line_split')]}"
9,"#include <iostream>
#include <cassert>
bool is_woodall(long long x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    long long p = 0;
//begin to write code
",223,"
#include <iostream>
#include <cassert>

bool is_woodall(long long x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    long long p = 0;
    while (x % 2 == 0) {
        x = x / 2;
        p = p + 1;
        if (p == x) {
            return true;
        }
    }
    return false;
}


","using namespace std;

#include <iostream>
#include <cassert>

bool is_woodall(long long x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    long long p = 0;
    //begin to write code
    // Your code here
    //...
    return false; // or true based on your logic
}
",,,,-2,1,0.2789297620455424,code_style:None,0.0,0.0,
