Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"#include <iostream>
#include <cassert>
std::string remove_Occ(std::string s, char ch) {
    for (int i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
//begin to write code
",264,"
#include <iostream>
#include <cassert>

std::string remove_Occ(std::string s, char ch) {
    for (int i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    for (int i = s.length() - 1; i >= 0; i--) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    return s;
}


","
#include <iostream>
#include <cassert>
std::string remove_Occ(std::string s, char ch) {
    for (int i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    return s;
}

// Test function to verify the correctness of the remove_Occ function
void test_remove_Occ() {
    assert(remove_Occ(""hello"", 'l') == ""heo"");
    assert(remove_Occ(""world"", 'o') == ""world"");
    assert(remove_Occ(""cpp"", 'p') == ""cpp"");
    assert(remove_Occ("""", 'a') == """");
    assert(remove_Occ(""ababab"", 'b') == ""acaba"");
    std::cout << ""All test cases passed!"" << std::endl;
}

",,,,-2,1,0.24081876277923583,insert:None,0.0,0.0,
1,"#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;
vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
//begin to write code
",360,"#include<iostream>
    

#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
    });
    return M;
}


","
#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
    });
    return M;
}

","#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;
vector<vector<int>> sort_matrix(vector<vector<int>> M) {
[]() {std::cout << ""This function is used to remove a item of a list"" << std::endl;};
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
//begin to write code
","#include<iostream>
    

#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
[]() {std::cout << ""This function is used to remove a item of a list"" << std::endl;};
    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {
        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);
    });
    return M;
}


","
#include<iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <numeric>
using namespace std;

vector<vector<int>> sort_matrix(vector<vector<int>> M) {
    return M;
}

",1,3,0.4848742842674255,insert:insert_dead_code,1.0,0.0,"{'#include<iostream>\n    \n\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\n\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n[]() {std::cout << ""This function is used to remove a item of a list"" << std::endl;};\n    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {\n        return accumulate(a.begin(), a.end(), 0) < accumulate(b.begin(), b.end(), 0);\n    });\n    return M;\n}\n\n\n': [('#include<iostream>\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n[]() {std::cout << ""This function is used to remove a item of a list"" << std::endl;};\n    sort(M.begin(), M.end(), [](const vector<int>& a, const vector<int>& b) {\n//begin to write code\n', '\n#include<iostream>\n#include <vector>\n#include <algorithm>\n#include <cassert>\n#include <numeric>\nusing namespace std;\n\nvector<vector<int>> sort_matrix(vector<vector<int>> M) {\n    return M;\n}\n\n', 'insert_dead_code')]}"
2,"#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>
#include <iostream>
using namespace std;
vector<pair<string, int>> count_common(const vector<string>& words) {
    map<string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }
    vector<pair<string, int>> sorted_counts(word_counts.begin(), word_counts.end());
    sort(sorted_counts.begin(), sorted_counts.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
//begin to write code
",529,"#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>
#include <iostream>
using namespace std;

vector<pair<string, int>> count_common(const vector<string>& words) {
    map<string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }

    vector<pair<string, int>> sorted_counts(word_counts.begin(), word_counts.end());
    sort(sorted_counts.begin(), sorted_counts.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
        return a.second > b.second || (a.second == b.second && a.first > b.first);
    });

    if (sorted_counts.size() > 4) {
        sorted_counts.resize(4);
    }
    return sorted_counts;
}","#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>
#include <iostream>
using namespace std;
vector<pair<string, int>> count_common(const vector<string>& words) {
    map<string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }
    vector<pair<string, int>> sorted_counts(word_counts.begin(), word_counts.end());
    sort(sorted_counts.begin(), sorted_counts.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
        return a.second > b.second; // Sort by frequency in descending order
    });
    vector<string> result;
    for (const auto& pair : sorted_counts) {
        if (result.empty() || pair.first!= result.back().first) {
            result.push_back(pair);
        }
    }
    return result;
}
",,,,-2,1,0.20633318026860556,insert:None,0.0,0.0,
3,"#include <iostream>
#include <cassert>
int find_Volume(int l, int b, int h) {
//begin to write code
",100,"
#include <iostream>
#include <cassert>

int find_Volume(int l, int b, int h) {
    return ((l * b * h) / 2);
}


","
#include <iostream>
#include <cassert>

int find_Volume(int l, int b, int h) {
    // Calculate the volume of the triangular prism
    return l * b * h;
}

",,,,-2,1,0.19595331350962322,insert:None,0.0,0.0,
4,"#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;
vector<string> split_lowerstring(const string& text) {
    vector<string> result;
    size_t len = text.length();
    size_t i = 0;
    while (i < len) {
        if (text[i] >= 'a' && text[i] <= 'z') {
            size_t start = i;
            i++;
            while (i < len && (text[i] < 'a' || text[i] > 'z')) {
//begin to write code
",433,"#include <iostream>
#include <string>
#include <vector>
#include <cassert>

using namespace std;

vector<string> split_lowerstring(const string& text) {
    vector<string> result;
    size_t len = text.length();
    size_t i = 0;

    while (i < len) {

        if (text[i] >= 'a' && text[i] <= 'z') {
            size_t start = i;
            i++;

            while (i < len && (text[i] < 'a' || text[i] > 'z')) {
                i++;
            }
            result.push_back(text.substr(start, i - start));
        } else {
            i++;
        }
    }

    return result;
}","
#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;

vector<string> split_lowerstring(const string& text) {
    vector<string> result;
    size_t len = text.length();
    size_t i = 0;
    while (i < len) {
        if (text[i] >= 'a' && text[i] <= 'z') {
            size_t start = i;
            i++;
            while (i < len && (text[i] < 'a' || text[i] > 'z')) {
                result.push_back(text.substr(start, i - start));
                start = i;
            }
        }
    }
    return result;
}

",,,,-2,1,1.2487627108891806,insert:None,0.0,0.0,
5,"#include<iostream>
#include <string>
#include <cassert>
using namespace std;
string text_lowercase_underscore(string text) {
    if (text.empty()) {
        return ""Not matched!"";
    }
    size_t underscore_pos = text.find('_');
    if (underscore_pos == std::string::npos) {
        return ""Not matched!"";
    }
    if (underscore_pos == 0 || underscore_pos == text.length() - 1) {
        return ""Not matched!"";
//begin to write code
",437,"#include<iostream>
    
#include <string>
#include <cassert>
using namespace std;

string text_lowercase_underscore(string text) {
    
    if (text.empty()) {
        return ""Not matched!"";
    }

    size_t underscore_pos = text.find('_');
    if (underscore_pos == std::string::npos) {
        return ""Not matched!"";
    }

    if (underscore_pos == 0 || underscore_pos == text.length() - 1) {
        return ""Not matched!"";
    }

    for (size_t i = 0; i < text.length(); ++i) {
        if (i == underscore_pos) {
            continue;
        }
        if (text[i] < 'a' || text[i] > 'z') {
            return ""Not matched!"";
        }
    }

    return ""Found a match!"";

}","
#include<iostream>
#include <string>
#include <cassert>
using namespace std;

string text_lowercase_underscore(string text) {
    if (text.empty()) {
        return ""Not matched!"";
    }
    size_t underscore_pos = text.find('_');
    if (underscore_pos == std::string::npos) {
        return ""Not matched!"";
    }
    if (underscore_pos == 0 || underscore_pos == text.length() - 1) {
        return ""Not matched!"";
    }
    return text.substr(0, underscore_pos) + ""_"" + text.substr(underscore_pos + 1);
}

",,,,-2,1,0.3274311900138855,insert:None,0.0,0.0,
6,"#include <iostream>
#include <cassert>
int square_perimeter(int a) {
    int perimeter = 4 * a;
//begin to write code
",118,"
#include <iostream>
#include <cassert>

int square_perimeter(int a) {
    int perimeter = 4 * a;
    return perimeter;
}


","
#include <iostream>
#include <cassert>

int square_perimeter(int a) {
    return 4 * a;
}

","#include <iostream>
#include <cassert>
int square_perimeter(int a) {
    int perimeter = 4 * a;
//begin to write code
","
#include <iostream>
#include <cassert>

int square_perimeter(int a) {
    int perimeter = 4 * a;
    return perimeter;
}


double temp_var_3 = 9.9;if (temp_var_3 < 9.12) {std::cout << ""This function is used to remove a item of a list"" << std::endl;temp_var_3 = temp_var_3 + 1;}
","Complete code (including all the content of the code I provided and the code you generated)
",1,3,0.5817514220873515,insert:insert_dead_code,1.0,0.0,"{'\n#include <iostream>\n#include <cassert>\n\nint square_perimeter(int a) {\n    int perimeter = 4 * a;\n    return perimeter;\n}\n\n\ndouble temp_var_3 = 9.9;if (temp_var_3 < 9.12) {std::cout << ""This function is used to remove a item of a list"" << std::endl;temp_var_3 = temp_var_3 + 1;}\n': [('#include <iostream>\n#include <cassert>\nint square_perimeter(int a) {\n    int perimeter = 4 * a;\n//begin to write code\n', 'Complete code (including all the content of the code I provided and the code you generated)\n', 'insert_dead_code')]}"
7,"#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;
const int NO_OF_CHARS = 256;
vector<char> str_to_list(const string& str) {
    vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}
string lst_to_string(const vector<char>& List) {
    return string(List.begin(), List.end());
}
vector<int> get_char_count_array(const string& str) {
    vector<int> count(NO_OF_CHARS, 0);
    for (char c : str) {
        count[c]++;
    }
//begin to write code
",533,"
#include <iostream>
#include <string>
#include <vector>
#include <cassert>

using namespace std;

const int NO_OF_CHARS = 256;

vector<char> str_to_list(const string& str) {
    vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}

string lst_to_string(const vector<char>& List) {
    return string(List.begin(), List.end());
}

vector<int> get_char_count_array(const string& str) {
    vector<int> count(NO_OF_CHARS, 0);
    for (char c : str) {
        count[c]++;
    }
    return count;
}

string remove_dirty_chars(const string& str, const string& filter_str) {
    vector<int> count = get_char_count_array(filter_str);
    int ip_ind = 0, res_ind = 0;
    vector<char> str_list = str_to_list(str);
    while (ip_ind != str_list.size()) {
        char temp = str_list[ip_ind];
        if (count[temp] == 0) {
            str_list[res_ind] = str_list[ip_ind];
            res_ind++;
        }
        ip_ind++;
    }
    return lst_to_string(vector<char>(str_list.begin(), str_list.begin() + res_ind));
}


","
#include <iostream>
#include <string>
#include <vector>
#include <cassert>
using namespace std;
const int NO_OF_CHARS = 256;
vector<char> str_to_list(const string& str) {
    vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}
string lst_to_string(const vector<char>& List) {
    return string(List.begin(), List.end());
}
vector<int> get_char_count_array(const string& str) {
    vector<int> count(NO_OF_CHARS, 0);
    for (char c : str) {
        count[c]++;
    }
    return count;
}

vector<string> filter_chars(const string& str, const string& chars) {
    vector<string> filtered_list;
    for (char c : str) {
        if (chars.find(c) == string::npos) {
            filtered_list.push_back(c);
        }
    }
    return filtered_list;
}

",,,,-2,1,0.3384623130162557,insert:None,0.0,0.0,
8,"#include <iostream>
#include <vector>
#include <set>
#include <cassert>
bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
//begin to write code
",212,"
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
    return arraynums.size() != nums_set.size();
}


","
using namespace std;
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());
    return nums_set.size()!= arraynums.size();
}

","#include <iostream>
#include <vector>
#include <set>
#include <cassert>
bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
//begin to write code
","
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
    return arraynums.size() != nums_set.size();
}


","
#include <iostream>
#include <vector>
#include <set>
#include <cassert>

bool test_duplicate(std::vector<int> arraynums) {
    std::set<int> nums_set(arraynums.begin(), arraynums.end());    
    // Check if the size of the set is equal to the size of the vector
    return nums_set.size() == arraynums.size();
}

",1,3,0.7244244337081909,insert:fold_constant,1.0,0.0,"{'\n#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\n\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());    \n    return arraynums.size() != nums_set.size();\n}\n\n\n': [('#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());    \n//begin to write code\n', '\n#include <iostream>\n#include <vector>\n#include <set>\n#include <cassert>\n\nbool test_duplicate(std::vector<int> arraynums) {\n    std::set<int> nums_set(arraynums.begin(), arraynums.end());    \n    // Check if the size of the set is equal to the size of the vector\n    return nums_set.size() == arraynums.size();\n}\n\n', 'fold_constant')]}"
9,"#include <iostream>
#include <cassert>
bool is_woodall(long long x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    long long p = 0;
//begin to write code
",223,"
#include <iostream>
#include <cassert>

bool is_woodall(long long x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    long long p = 0;
    while (x % 2 == 0) {
        x = x / 2;
        p = p + 1;
        if (p == x) {
            return true;
        }
    }
    return false;
}


","
#include <iostream>
#include <cassert>

bool is_woodball(long long x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    long long p = 0;
    while (p < x) {
        p += x;
    }
    return p % 2 == 0;
}

","#include <iostream>
#include <cassert>
bool is_woodall(long long x) {
    const auto var_0 = 2;
    const auto var_1 = 0;
    const auto var_2 = 1;
    const auto var_3 = 1;
    const auto var_4 = 0;
    const auto var_5 = 2;
    const auto var_6 = 0;
    if (x % var_0  == var_1 ) {
        return false;
    }
    if (x == var_2 ) {
        return true;
//begin to write code
","
#include <iostream>
#include <cassert>

bool is_woodall(long long x) {
    const auto var_0 = 2;
    const auto var_1 = 0;
    const auto var_2 = 1;
    const auto var_3 = 1;
    const auto var_4 = 0;
    const auto var_5 = 2;
    const auto var_6 = 0;
    if (x % var_0  == var_1 ) {
        return false;
    }
    if (x == var_2 ) {
        return true;
    }
    x = x + var_3 ;
    long long p = var_4 ;
    while (x % var_5  == var_6 ) {
        const auto var_7 = 2;
        const auto var_8 = 1;
        x = x / var_7 ;
        p = p + var_8 ;
        if (p == x) {
            return true;
        }
    }
    return false;
}


","
#include <iostream>
#include <cassert>

bool is_woodball(long long x) {
    const auto var_0 = 2;
    const auto var_1 = 0;
    const auto var_2 = 1;
    const auto var_3 = 1;
    const auto var_4 = 0;
    const auto var_5 = 2;
    const auto var_6 = 0;
    if (x % var_0 == var_1 ) {
        return false;
    }
    if (x == var_2 ) {
        return true;
    }
    return false;
}

",1,3,0.6966766238212585,insert:fold_constant,1.0,0.0,"{'\n#include <iostream>\n#include <cassert>\n\nbool is_woodall(long long x) {\n    const auto var_0 = 2;\n    const auto var_1 = 0;\n    const auto var_2 = 1;\n    const auto var_3 = 1;\n    const auto var_4 = 0;\n    const auto var_5 = 2;\n    const auto var_6 = 0;\n    if (x % var_0  == var_1 ) {\n        return false;\n    }\n    if (x == var_2 ) {\n        return true;\n    }\n    x = x + var_3 ;\n    long long p = var_4 ;\n    while (x % var_5  == var_6 ) {\n        const auto var_7 = 2;\n        const auto var_8 = 1;\n        x = x / var_7 ;\n        p = p + var_8 ;\n        if (p == x) {\n            return true;\n        }\n    }\n    return false;\n}\n\n\n': [('#include <iostream>\n#include <cassert>\nbool is_woodall(long long x) {\n    const auto var_0 = 2;\n    const auto var_1 = 0;\n    const auto var_2 = 1;\n    const auto var_3 = 1;\n    const auto var_4 = 0;\n    const auto var_5 = 2;\n    const auto var_6 = 0;\n    if (x % var_0  == var_1 ) {\n        return false;\n    }\n    if (x == var_2 ) {\n        return true;\n//begin to write code\n', '\n#include <iostream>\n#include <cassert>\n\nbool is_woodball(long long x) {\n    const auto var_0 = 2;\n    const auto var_1 = 0;\n    const auto var_2 = 1;\n    const auto var_3 = 1;\n    const auto var_4 = 0;\n    const auto var_5 = 2;\n    const auto var_6 = 0;\n    if (x % var_0 == var_1 ) {\n        return false;\n    }\n    if (x == var_2 ) {\n        return true;\n    }\n    return false;\n}\n\n', 'fold_constant')]}"
