Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        //begin to write code
",296,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex != -1) {
            s = s.substring(0, lastIndex) + s.substring(lastIndex + 1);
        }
        return s;
    }
}
","class Solution {
    public String remove_Occ(String s, char ch) {
        if (s == null || s.isEmpty()) {
            return s;
        }

        int firstIndex = s.indexOf(ch);
        if (firstIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        // Remove the first occurrence
        s = s.substring(0, firstIndex) + s.substring(lastIndex + 1);

        // Remove the last occurrence
        s = s.substring(0, lastIndex) + s.substring(firstIndex + 1);

        return s;
    }
}
",,,,-2,1,0.2222632606824239,code_expression_exchange:None,0.0,0.0,
1,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
",276,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] arr) {
        int sum = 0;
        for (int num : arr) {
            sum += num;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","        <|im_end|>


",1,3,0.416079048315684,code_expression_exchange:bool2int,1.0,0.0,"{'class Solution {\n    public int[][] sortMatrix(int[][] M) {\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n\n    private int sum(int[] a) {\n        int sum = 0;\n        for (int i : a) {\n            sum += i;\n        }\n        return sum;\n    }\n}\n': [('class Solution {\n    public int[][] sortMatrix(int[][] M) {\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n    //begin to write code\n', '        <|im_end|>\n\n\n', 'bool2int')]}"
2,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        //begin to write code
",305,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        List<Map.Entry<String, Integer>> list = new ArrayList<>(wordCounts.entrySet());
        list.sort((o1, o2) -> o2.getValue().compareTo(o1.getValue()));
        return list.subList(0, Math.min(4, list.size()));
    }
}
","class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }

        // Step 1: Find the maximum frequency
        int maxFrequency = 0;
        for (int count : wordCounts.values()) {
            if (count > maxFrequency) {
                maxFrequency = count;
            }
        }

        // Step 2: Collect all words with the maximum frequency
        List<Map.Entry<String, Integer>> result = new ArrayList<>();
        for (Map.Entry<String, Integer> entry : wordCounts.entrySet()) {
            if (entry.getValue() == maxFrequency) {
                result.add(entry);
            }
        }

        return result;
    }

    public static void main(String[] args) {
        String[] words = {""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""apple""};
        List<Map.Entry<String, Integer>> commonWords = countCommon(words);
        System.out.println(commonWords);
    }
}
",,,,-2,1,0.2412467122077942,code_expression_exchange:None,0.0,0.0,
3,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
        //begin to write code
",150,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
    }
}
","class Solution {
    public static double find_Volume(double l, double b, double h) {
        // Calculate the semi-perimeter of the triangle
        double s = (l + b + h) / 2;

        // Calculate the area of the triangle using Heron's formula
        double area = Math.sqrt(s * (s - l) * (s - b) * (s - h));

        // Calculate the volume of the triangular prism
        double volume = area * h;

        return volume;
    }

    public static void main(String[] args) {
        // Example usage
        double l = 5.0;
        double b = 3.0;
        double h = 4.0;
        double volume = find_Volume(l, b, h);
        System.out.println(""The volume of the triangular prism is: "" + volume);
    }
}
",,,,-2,1,0.2408004879951477,code_expression_exchange:None,0.0,0.0,
4,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
        //begin to write code
",310,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }

    public static void main(String[] args) {
        String input = ""Hello World! This is a test."";
        ArrayList<String> lowerCaseWords = splitLowerString(input);
        for (String word : lowerCaseWords) {
            System.out.println(word);
        }
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
        //begin to write code
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
",-1,21,2.6303186217943826,code_expression_exchange:equal_expression_transformation,1.0,0.9041095840754823,"{'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n': [('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello, World! Hello, Java!"";\n        ArrayList<String> splitText = splitLowerString(text);\n        System.out.println(splitText); // Output: [Hello, World!, Hello, Java!]\n    }\n}\n', 'bool2int'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String input = ""Hello, World! Hello, Java!"";\n        ArrayList<String> output = splitLowerString(input);\n        System.out.println(output); // Output: [hello, world, hello, java]\n    }\n}\n', 'more_universe_var_type'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n\n        return result;\n    }\n}\n', 'more_universe_var_type'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello World! This is a Test."";\n        ArrayList<String> lowerStrings = splitLowerString(text);\n        System.out.println(lowerStrings);  // Output: [Hello, World!, This, is, a, Test.]\n    }\n}\n', 'more_universe_var_type'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String input = ""Hello World!"";\n        ArrayList<String> lowerCaseWords = splitLowerString(input);\n        System.out.println(lowerCaseWords);\n    }\n}\n', 'exchange_operators'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String input = ""Hello World"";\n        ArrayList<String> words = splitLowerString(input);\n        System.out.println(words); // Output: [Hello, World]\n    }\n}\n', 'exchange_operators'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello World"";\n        ArrayList<String> lowerStrings = splitLowerString(text);\n        for (String str : lowerStrings) {\n            System.out.println(str);\n        }\n    }\n}\n', 'equal_expression_transformation'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n', 'exchange_operators'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello, World!"";\n        ArrayList<String> words = splitLowerString(text);\n        System.out.println(words);\n    }\n}\n', 'bool2int'), ('class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n', 'equal_expression_transformation')]}"
5,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
        //begin to write code
",283,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
            return ""Found a match!"";
        } else {
            return ""Not matched!"";
        }
    }
}
","class Solution {
    public String text_lowercase_underscore(String text) {
        // Define the regular expression pattern to match sequences of lowercase letters joined with an underscore
        String patterns = ""^[a-z]+_[a-z]+$"";
        
        // Compile the regular expression pattern
        Pattern pattern = Pattern.compile(patterns);
        
        // Create a matcher for the input text
        Matcher matcher = pattern.matcher(text);
        
        // If a match is found, return the matched string
        if (matcher.find()) {
            return matcher.group();
        }
        
        // Return an empty string if no match is found
        return """";
    }
}
",,,,-2,1,0.23434578975041706,code_expression_exchange:None,0.0,0.0,
6,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        //begin to write code
",125,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(long a) {
        int perimeter = a * 4;
        //begin to write code
","class Solution {
    public static int squarePerimeter(long a) {
        int perimeter = a * 4;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(long a) {
        int perimeter = a * 4;
        return perimeter;
    }
}
",1,7,0.7735514839490255,code_expression_exchange:more_universe_var_type,1.0,0.0,"{'class Solution {\n    public static int squarePerimeter(long a) {\n        int perimeter = a * 4;\n        return perimeter;\n    }\n}\n': [('class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = a * 4;\n        //begin to write code\n', 'class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = a * 4;\n        return perimeter;\n    }\n\n    public static void main(String[] args) {\n        // Example usage\n        int sideLength = 5;\n        int perimeter = squarePerimeter(sideLength);\n        System.out.println(""The perimeter of a square with side length "" + sideLength + "" is "" + perimeter);\n    }\n}\n', 'exchange_operators'), ('class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = a * 4;\n        //begin to write code\n', 'class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = a * 4;\n        return perimeter;\n    }\n}\n', 'equal_expression_transformation'), ('class Solution {\n    public static int squarePerimeter(long a) {\n        int perimeter = a * 4;\n        //begin to write code\n', 'class Solution {\n    public static int squarePerimeter(long a) {\n        int perimeter = a * 4;\n        return perimeter;\n    }\n}\n', 'more_universe_var_type')]}"
7,"class Solution {
    static final int NO_OF_CHARS = 256;
    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }
    static String lst_to_string(char[] list) {
        return new String(list);
    }
    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        //begin to write code
",635,"class Solution {
    static final int NO_OF_CHARS = 256;

    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }

    static String lst_to_string(char[] list) {
        return new String(list);
    }

    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        return count;
    }

    public static String remove_dirty_chars(String string, String second_string) {
        int count[] = get_char_count_array(second_string);
        int ip_ind = 0, res_ind = 0;
        char temp;
        char[] str_list = str_to_list(string);

        while (ip_ind != str_list.length) {
            temp = str_list[ip_ind];
            if (count[(int) temp] == 0) {
                str_list[res_ind] = str_list[ip_ind];
                res_ind++;
            }
            ip_ind++;
        }

        return lst_to_string(Arrays.copyOfRange(str_list, 0, res_ind));
    }
}
","        <|im_end|>


",,,,-2,1,0.22960621515909832,code_expression_exchange:None,0.0,0.0,
8,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            //begin to write code
",217,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
        }
        return arraynums.length != numsSet.size();
    }
}
","class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            if (numsSet.size() > arraynums.length) {
                return true;
            }
        }
        return false;
    }
}
",,,,-2,1,0.20657523075739542,code_expression_exchange:None,0.0,0.0,
9,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code
",249,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        while (x % 2 == 0) {
            x = x / 2;
            p = p + 1;
            if (p == x) {
                return true;
            }
        }
        return false;
    }
}
","class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        // Your code here
        while (x > 0) {
            p++;
            x /= 2;
        }
        return p % 2 == 0;
    }
}
",,,,-2,1,0.1866458535194397,code_expression_exchange:None,0.0,0.0,
