Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
0,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        //begin to write code
",296,"class Solution {
    public String remove_Occ(String s, char ch) {
        int firstIndex = s.indexOf(ch);
        if (firstIndex != -1) {
            s = s.substring(0, firstIndex) + s.substring(firstIndex + 1);
        }
        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex != -1) {
            s = s.substring(0, lastIndex) + s.substring(lastIndex + 1);
        }
        return s;
    }
}
","class Solution {
    public String remove_Occ(String s, char ch) {
        if (s == null || s.isEmpty()) {
            return s;
        }

        int firstIndex = s.indexOf(ch);
        if (firstIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        int lastIndex = s.lastIndexOf(ch);
        if (lastIndex == -1) {
            return s; // Return the original string if the character is not found
        }

        // Remove the first occurrence
        s = s.substring(0, firstIndex) + s.substring(lastIndex + 1);

        // Remove the last occurrence
        s = s.substring(0, lastIndex) + s.substring(firstIndex + 1);

        return s;
    }
}
",,,,-2,1,0.22433571418126425,code_style:None,0.0,0.0,
1,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
",276,"class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] arr) {
        int sum = 0;
        for (int num : arr) {
            sum += num;
        }
        return sum;
    }
}
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }
    //begin to write code
","class Solution {
    public int[][] sortMatrix(int[][] M) {
        Arrays.sort(M, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return sum(a) - sum(b);
            }
        });
        return M;
    }

    private int sum(int[] a) {
        int sum = 0;
        for (int i : a) {
            sum += i;
        }
        return sum;
    }
}
","        <|im_end|>


",1,3,0.41577916940053306,code_style:tab_indent,1.0,0.0,"{'class Solution {\n    public int[][] sortMatrix(int[][] M) {\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n\n    private int sum(int[] a) {\n        int sum = 0;\n        for (int i : a) {\n            sum += i;\n        }\n        return sum;\n    }\n}\n': [('class Solution {\n    public int[][] sortMatrix(int[][] M) {\n        Arrays.sort(M, new Comparator<int[]>() {\n            public int compare(int[] a, int[] b) {\n                return sum(a) - sum(b);\n            }\n        });\n        return M;\n    }\n    //begin to write code\n', '        <|im_end|>\n\n\n', 'tab_indent')]}"
2,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        //begin to write code
",305,"class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }
        List<Map.Entry<String, Integer>> list = new ArrayList<>(wordCounts.entrySet());
        list.sort((o1, o2) -> o2.getValue().compareTo(o1.getValue()));
        return list.subList(0, Math.min(4, list.size()));
    }
}
","class Solution {
    public static List<Map.Entry<String, Integer>> countCommon(String[] words) {
        Map<String, Integer> wordCounts = new HashMap<>();
        for (String word : words) {
            wordCounts.put(word, wordCounts.getOrDefault(word, 0) + 1);
        }

        // Step 1: Find the maximum frequency
        int maxFrequency = 0;
        for (int count : wordCounts.values()) {
            if (count > maxFrequency) {
                maxFrequency = count;
            }
        }

        // Step 2: Collect all words with the maximum frequency
        List<Map.Entry<String, Integer>> result = new ArrayList<>();
        for (Map.Entry<String, Integer> entry : wordCounts.entrySet()) {
            if (entry.getValue() == maxFrequency) {
                result.add(entry);
            }
        }

        return result;
    }

    public static void main(String[] args) {
        String[] words = {""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""apple""};
        List<Map.Entry<String, Integer>> commonWords = countCommon(words);
        System.out.println(commonWords);
    }
}
",,,,-2,1,0.24407933950424193,code_style:None,0.0,0.0,
3,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
        //begin to write code
",150,"class Solution {
    public static double find_Volume(double l, double b, double h) {
        return ((l * b * h) / 2);
    }
}
","class Solution {
    public static double find_Volume(double l, double b, double h) {
        // Calculate the semi-perimeter of the triangle
        double s = (l + b + h) / 2;

        // Calculate the area of the triangle using Heron's formula
        double area = Math.sqrt(s * (s - l) * (s - b) * (s - h));

        // Calculate the volume of the triangular prism
        double volume = area * h;

        return volume;
    }

    public static void main(String[] args) {
        // Example usage
        double l = 5.0;
        double b = 3.0;
        double h = 4.0;
        double volume = find_Volume(l, b, h);
        System.out.println(""The volume of the triangular prism is: "" + volume);
    }
}
",,,,-2,1,0.24113426208496094,code_style:None,0.0,0.0,
4,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
        //begin to write code
",310,"class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
","class Solution {
    public static ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }

    public static void main(String[] args) {
        String input = ""Hello World! This is a test."";
        ArrayList<String> lowerCaseWords = splitLowerString(input);
        for (String word : lowerCaseWords) {
            System.out.println(word);
        }
    }
}
","class Solution {
    public
 static
 ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern
 pattern = Pattern.compile(""[a-z][^a-z]*"");
 //begin to write code
","

class Solution {
    public
 static
 ArrayList<String> splitLowerString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern
 pattern = Pattern.compile(""[a-z][^a-z]*"");
        Matcher matcher = pattern.matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}


","class Solution {
    public static ArrayList<String> splitUpperString(String text) {
        ArrayList<String> result = new ArrayList<>();
        Pattern
 pattern = Pattern.compile(""[A-Z][^A-Z]*"");
        //begin to write code

        -----------------------------

        Requirements:
        1. I only need the function and related package import, don't generate any other imformations such as examples usage or test cases.
        2. Follow the specified format strictly below.
        3. Do not change the function name.
        4. The original code content must be fully included in the complete code you generate.
        5. Do not modify class ""Solution"" as a public class.

        Format:
        ",1,21,2.5721692085266112,code_style:line_split,1.0,0.0,"{'\n\nclass Solution {\n    public\n static\n ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n\n\n': [('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        \n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        \n        return result;\n    }\n}\n', 'line_split'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n', 'tab_indent'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello World! This is a Test."";\n        ArrayList<String> splitText = splitLowerString(text);\n        System.out.println(splitText); // Output: [Hello, World!, This, is, a, Test.]\n    }\n}\n', 'newline_random'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello World"";\n        ArrayList<String> lowerStringList = splitLowerString(text);\n        for (String lowerString : lowerStringList) {\n            System.out.println(lowerString);\n        }\n    }\n}\n', 'tab_indent'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n', 'line_split'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n            pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n\n        return result;\n    }\n}\n', 'doc2comments'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String text = ""Hello World!"";\n        ArrayList<String> lowerCaseStrings = splitLowerString(text);\n        System.out.println(lowerCaseStrings);\n    }\n}\n', 'newline_aftercode'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n                pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n}\n', 'doc2comments'), ('class Solution {\n    public\n static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern pattern = Pattern.compile(""[a-z][^a-z]*"");\n        Matcher matcher = pattern.matcher(text);\n        while (matcher.find()) {\n            result.add(matcher.group());\n        }\n        return result;\n    }\n\n    public static void main(String[] args) {\n        String input = ""Hello World"";\n        ArrayList<String> output = splitLowerString(input);\n        System.out.println(output);  // Output: [hello, world]\n    }\n}\n', 'newline_aftercode'), ('class Solution {\n    public\n static\n ArrayList<String> splitLowerString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[a-z][^a-z]*"");\n //begin to write code\n', 'class Solution {\n    public static ArrayList<String> splitUpperString(String text) {\n        ArrayList<String> result = new ArrayList<>();\n        Pattern\n pattern = Pattern.compile(""[A-Z][^A-Z]*"");\n        //begin to write code\n\n        -----------------------------\n\n        Requirements:\n        1. I only need the function and related package import, don\'t generate any other imformations such as examples usage or test cases.\n        2. Follow the specified format strictly below.\n        3. Do not change the function name.\n        4. The original code content must be fully included in the complete code you generate.\n        5. Do not modify class ""Solution"" as a public class.\n\n        Format:\n        ', 'line_split')]}"
5,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
        //begin to write code
",283,"class Solution {
    public String text_lowercase_underscore(String text) {
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        if (matcher.find()) {
            return ""Found a match!"";
        } else {
            return ""Not matched!"";
        }
    }
}
","class Solution {
    public String text_lowercase_underscore(String text) {
        // Use a regular expression to match strings that start with a lowercase letter followed by an underscore and then another lowercase letter
        String patterns = ""^[a-z]+_[a-z]+$"";
        Pattern pattern = Pattern.compile(patterns);
        Matcher matcher = pattern.matcher(text);
        
        // If a match is found, return the matched string
        if (matcher.find()) {
            return matcher.group();
        }
        
        // If no match is found, return an empty string
        return """";
    }
}
",,,,-2,1,0.1871485710144043,code_style:None,0.0,0.0,
6,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        //begin to write code
",125,"class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        //begin to write code
","class Solution {
    public static int squarePerimeter(int a) {
        int perimeter = 4 * a;
        return perimeter;
    }
}
","class Solution {

    /**
     * Calculates the area of a rectangle.
     *
     * @param length The length of the rectangle.
     * @param width The width of the rectangle.
     * @return The area of the rectangle.
     */
    public static double calculateArea(double length, double width) {
        return length * width;
    }
}
",1,3,0.35410754680633544,code_style:doc2comments,1.0,0.0,"{'class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = 4 * a;\n        return perimeter;\n    }\n}\n': [('class Solution {\n    public static int squarePerimeter(int a) {\n        int perimeter = 4 * a;\n        //begin to write code\n', 'class Solution {\n\n    /**\n     * Calculates the area of a rectangle.\n     *\n     * @param length The length of the rectangle.\n     * @param width The width of the rectangle.\n     * @return The area of the rectangle.\n     */\n    public static double calculateArea(double length, double width) {\n        return length * width;\n    }\n}\n', 'doc2comments')]}"
7,"class Solution {
    static final int NO_OF_CHARS = 256;
    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }
    static String lst_to_string(char[] list) {
        return new String(list);
    }
    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        //begin to write code
",635,"class Solution {
    static final int NO_OF_CHARS = 256;

    static char[] str_to_list(String string) {
        char[] temp = new char[string.length()];
        for (int i = 0; i < string.length(); i++) {
            temp[i] = string.charAt(i);
        }
        return temp;
    }

    static String lst_to_string(char[] list) {
        return new String(list);
    }

    static int[] get_char_count_array(String string) {
        int count[] = new int[NO_OF_CHARS];
        Arrays.fill(count, 0);
        for (int i = 0; i < string.length(); i++) {
            count[(int) string.charAt(i)]++;
        }
        return count;
    }

    public static String remove_dirty_chars(String string, String second_string) {
        int count[] = get_char_count_array(second_string);
        int ip_ind = 0, res_ind = 0;
        char temp;
        char[] str_list = str_to_list(string);

        while (ip_ind != str_list.length) {
            temp = str_list[ip_ind];
            if (count[(int) temp] == 0) {
                str_list[res_ind] = str_list[ip_ind];
                res_ind++;
            }
            ip_ind++;
        }

        return lst_to_string(Arrays.copyOfRange(str_list, 0, res_ind));
    }
}
","        <|im_end|>


",,,,-2,1,0.2278903047243754,code_style:None,0.0,0.0,
8,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            //begin to write code
",217,"class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
        }
        return arraynums.length != numsSet.size();
    }
}
","class Solution {
    public boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            numsSet.add(num);
            if (numsSet.size() > arraynums.length) {
                return true;
            }
        }
        return false;
    }
}
",,,,-2,1,0.203570822874705,code_style:None,0.0,0.0,
9,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        //begin to write code
",249,"class Solution {
    public static boolean isWoodall(int x) {
        if (x % 2 == 0) {
            return false;
        }
        if (x == 1) {
            return true;
        }
        x = x + 1;
        int p = 0;
        while (x % 2 == 0) {
            x = x / 2;
            p = p + 1;
            if (p == x) {
                return true;
            }
        }
        return false;
    }
}
","        <|im_end|>


",,,,-2,1,0.2294366478919983,code_style:None,0.0,0.0,
